,company,fair value,% net asset,subfund
141,CNH Industrial,647398894,0.53,E
142,Caterpillar,294808855,0.47,E
143,Cisco Systems,996182018,1.6,E
144,WSP Global,231567174,0.37,E
145,Cisco Systems,352642848,1.81,B
146,Carrefour,150304713,0.77,C
147,Booking Holdings,100220000,0.37,D
148,Heidelberg Materials,95982000,0.35,E
149,eDreams ODIGEO,91119000,0.25,B
150,Booking Holdings,130286000,0.38,E
151,Heidelberg Materials,268749600,0.79,E
152,Booking Holdings,18068197,0.23,B
153,Cisco Systems,4069011,0.05,D
154,Siemens,13924410,0.18,B
155,Siemens,7195246,0.09,B
156,CNH Industrial,9698200,0.12,E
157,Booking Holdings,433141708,0.35,B
158,Carrefour,314446568,0.26,E
159,Siemens,80900000,0.07,B
160,CNH Industrial,640081200,0.52,D
161,Caterpillar,3067166786,0.52,C
162,Cisco Systems,3043762243,0.52,C
163,Siemens,2850545488,0.48,C
164,Carlsberg,3059161843,0.52,D
165,Carrefour,17967800,0.02,B
166,Siemens,19004040,0.02,C
167,Siemens,9119100,0.01,D
168,Booking Holdings,19911400,0.02,E
169,Carlsberg,19791800,0.02,B
170,Caterpillar,140165012,0.17,B
171,Cisco Systems,139090925,0.18,D
172,Siemens,130299668,0.16,C
173,Carlsberg,139792415,0.17,E
174,Carlsberg,227605700,0.28,B
175,Booking Holdings,9955700,0.02,B
176,Carrefour,8983900,0.02,D
177,Siemens,4319100,0.01,C
178,CNH Industrial,571662000,1.06,E
179,Siemens,193420000,0.36,B
180,CNH Industrial,969820000,1.8,B
181,Siemens,49407706,0.97,B
182,Carlsberg,53017134,1.04,C
183,Carlsberg,62089650,0.11,B
184,Caterpillar,130580115,1.04,D
185,Cisco Systems,129587082,1.04,E
186,Booking Holdings,39822800,0.14,A
187,Carrefour,35935600,0.12,E
188,Siemens,35416620,0.12,E
189,Siemens,27357300,0.1,D
190,Carlsberg,29687700,0.1,A
191,Booking Holdings,185879670,1.6,A
192,Heidelberg Materials,50978080,0.44,D
193,Caterpillar,250605569,0.48,E
194,Cisco Systems,248688636,0.48,D
195,Booking Holdings,243549395,0.47,A
196,CNH Industrial,97269351,0.19,D
197,Siemens,60817698,0.12,C
198,MAN Group,54279615,0.1,A
199,Carlsberg,65348743,0.13,A
