,company,fair value,% net asset,subfund
49,Siemens,1092004,0.0081999999999999,European Equity Dynamic Multi Factors
50,Cisco Systems,4720593,0.0184,Global Equity Conservative
51,Motorola Solutions,4054189,0.0159,Global Equity Conservative
52,Carrefour,110560,0.0008,Global Equity Dynamic Multi Factors
53,Heidelberg Materials,42856,0.0003,Global Equity Dynamic Multi Factors
54,Siemens,351516,0.0026,Global Equity Dynamic Multi Factors
55,Caterpillar,1183504,0.0089,Global Equity Dynamic Multi Factors
56,Cisco Systems,571688,0.0043,Global Equity Dynamic Multi Factors
57,Motorola Solutions,108480,0.0008,Global Equity Dynamic Multi Factors
58,Alstom,1016300,0.0011,Euro Aggregate Bond
59,Carrefour,1542465,0.0017,Euro Aggregate Bond
60,CNH Industrial,1084908,0.0012,Euro Aggregate Bond
61,Siemens,803728,0.0009,Euro Aggregate Bond
62,Siemens,775544,0.0008,Euro Aggregate Bond
63,Alstom,1727710,0.0021,Euro Corporate ESG Bond
64,Carrefour,2056620,0.0025,Euro Corporate ESG Bond
65,CNH Industrial,1972560,0.0024,Euro Corporate ESG Bond
66,Siemens,1808388,0.0022,Euro Corporate ESG Bond
67,Siemens,1163316,0.0014,Euro Corporate ESG Bond
68,Alstom,711410,0.0028,Euro High Yield Bond
69,Bank Leumi,1722717,0.0083,Pioneer Global High Yield Bond
70,Alstom,5081500,0.0074,European Subordinated Bond ESG
71,CNH Industrial,3337688,0.0046,Global Corporate Bond
72,CNH Industrial,797568,0.0092,Global Corporate ESG Improvers Bond
73,Alstom,1550319,0.0062,Net Zero Ambition Global Corporate Bond
74,CNH Industrial,2602066,0.0103,Net Zero Ambition Global Corporate Bond
75,Siemens,1796103,0.0070999999999999,Net Zero Ambition Global Corporate Bond
76,Bank Leumi,1138077,0.0081,Global High Yield Bond
77,Cemex,399171,0.002,Optimal Yield
78,Cemex,1258949,0.0064,Optimal Yield
79,CNH Industrial,7597366,0.0040999999999999,Strategic Income
80,CNH Industrial,344450,0.0109,Net Zero Ambition US Corporate Bond
81,CNH Industrial,5716902,0.0034999999999999,US Bond
82,CNH Industrial,1066620,0.0034999999999999,US Corporate Bond
83,CNH Industrial,2355304,0.0077,US Corporate Bond
84,CNH Industrial,1098317,0.0021,US Short Term Bond
85,CNH Industrial,1567741,0.003,US Short Term Bond
86,Expedia Group,1871164,0.0034999999999999,US Short Term Bond
87,Cemex,11775558,0.0040999999999999,Emerging Markets Blended Bond
88,Cemex,4916221,0.0014,Emerging Markets Bond
89,Bank Leumi,1114008,0.0027,Emerging Markets Corporate Bond
90,Cemex,2352966,0.0056,Emerging Markets Corporate Bond
91,Cemex,2313048,0.0055,Emerging Markets Corporate Bond
92,Cemex,1756320,0.0042,Emerging Markets Corporate Bond
93,Bank Hapoalim,1801780,0.0105,Emerging Markets Green Bond
94,Cemex,855624,0.005,Emerging Markets Green Bond
95,Cemex,2794200,0.0038,Emerging Markets Hard Currency Bond
96,Bank Hapoalim,1081068,0.0045,Emerging Markets Short Term Bond
97,Bank Leumi,2442225,0.0102,Emerging Markets Short Term Bond
98,Siemens,595860,0.0027,Euro Multi-Asset Target Income
99,Siemens,332430,0.0015,Euro Multi-Asset Target Income
100,Cisco Systems,293343,0.0013,Euro Multi-Asset Target Income
101,Alstom,203260,0.0009,Euro Multi-Asset Target Income
102,Carrefour,94004,0.0004,Euro Multi-Asset Target Income
103,Carlsberg,368753,0.0007,Global Multi-Asset
104,Siemens,984298,0.002,Global Multi-Asset
105,Siemens,558911,0.0011,Global Multi-Asset
106,Cisco Systems,4098560,0.0081999999999999,Global Multi-Asset
107,Alstom,711410,0.0014,Global Multi-Asset
108,Siemens,1565328,0.0032,Global Multi-Asset
109,Carlsberg,951296,0.0004,Global Multi-Asset Conservative
110,Siemens,2420962,0.001,Global Multi-Asset Conservative
111,Siemens,1437353,0.0006,Global Multi-Asset Conservative
112,Cisco Systems,6924957,0.0028,Global Multi-Asset Conservative
113,Alstom,3252160,0.0013,Global Multi-Asset Conservative
114,Heidelberg Materials,3951400,0.0016,Global Multi-Asset Conservative
115,Siemens,9978966,0.0040999999999999,Global Multi-Asset Conservative
116,Siemens,962201,0.0027,Global Multi-Asset Target Income
117,Siemens,452575,0.0012,Global Multi-Asset Target Income
118,Cisco Systems,837174,0.0023,Global Multi-Asset Target Income
119,Alstom,217844,0.0006,Global Multi-Asset Target Income
120,Carrefour,107924,0.0003,Global Multi-Asset Target Income
121,Siemens,161708,0.0004,Global Multi-Asset Target Income
122,Syensqo,28497,0.0002,Net Zero Ambition Multi-Asset
123,WSP Global,101677,0.0005,Net Zero Ambition Multi-Asset
124,Alstom,97921,0.0005,Net Zero Ambition Multi-Asset
125,Siemens,109617,0.0006,Net Zero Ambition Multi-Asset
126,Siemens,80879,0.0004,Net Zero Ambition Multi-Asset
127,CNH Industrial,20614,0.0001,Net Zero Ambition Multi-Asset
128,Booking Holdings,125674,0.0007,Net Zero Ambition Multi-Asset
129,Caterpillar,132759,0.0007,Net Zero Ambition Multi-Asset
130,Cisco Systems,282644,0.0015,Net Zero Ambition Multi-Asset
131,Expedia Group,29271,0.0002,Net Zero Ambition Multi-Asset
132,Motorola Solutions,66655,0.0004,Net Zero Ambition Multi-Asset
133,CNH Industrial,273912,0.0015,Net Zero Ambition Multi-Asset
134,Siemens,292718,0.0008,Multi-Asset Real Return
135,Siemens,243068,0.0006,Multi-Asset Real Return
136,Cisco Systems,448525,0.0012,Multi-Asset Real Return
137,Carrefour,324513,0.0009,Multi-Asset Real Return
138,Cisco Systems,3678229,0.0039,Multi-Asset Sustainable Future
139,Alstom,6923994,0.0073,Multi-Asset Sustainable Future
140,Cisco Systems,668276,0.0189,Pioneer Flexible Opportunities
141,Heidelberg Materials,740888,0.0009,Absolute Return Multi-Strategy
142,Cemex,1716854,0.0021,Absolute Return Multi-Strategy
143,Siemens,788640,0.001,Absolute Return Multi-Strategy
144,Siemens,683466,0.0008,Absolute Return Multi-Strategy
145,Siemens,581658,0.0007,Absolute Return Multi-Strategy
146,Heidelberg Materials,691495,0.0009,Multi-Strategy Growth
147,Cemex,1397440,0.0018,Multi-Strategy Growth
148,Siemens,887220,0.0011,Multi-Strategy Growth
149,Siemens,878742,0.0011,Multi-Strategy Growth
150,Carrefour,19623545,0.0056999999999999,Cash EUR
151,IBM,19857333,0.0049,Cash USD
152,Caterpillar,10016077,0.0024,Cash USD
